Id,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60.0,RL,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7.0,5.0,2003.0,2003.0,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,706.0,0.0,150.0,856.0,GasA,Ex,Y,856.0,854.0,0.0,1710.0,1.0,0.0,2.0,1.0,3,1.0,Gd,8,Typ,0.0,2.0,548.0,Y,0.0,61,0.0,0.0,0.0,0.0,0.0,2.0,2008.0,WD,Normal,208500
2,20.0,RL,9600,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6.0,8.0,1976.0,1976.0,Gable,CompShg,MetalSd,MetalSd,TA,TA,CBlock,978.0,0.0,284.0,1262.0,GasA,Ex,Y,1262.0,0.0,0.0,1262.0,0.0,1.0,2.0,0.0,3,1.0,TA,6,Typ,1.0,2.0,460.0,Y,298.0,0,0.0,0.0,0.0,0.0,0.0,5.0,2007.0,WD,Normal,181500
3,60.0,RL,11250,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7.0,5.0,2001.0,2002.0,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,486.0,0.0,434.0,920.0,GasA,Ex,Y,920.0,866.0,0.0,1786.0,1.0,0.0,2.0,1.0,3,1.0,Gd,6,Typ,1.0,2.0,608.0,Y,0.0,42,0.0,0.0,0.0,0.0,0.0,9.0,2008.0,WD,Normal,223500
4,70.0,RL,9550,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7.0,5.0,1915.0,1970.0,Gable,CompShg,Wd Sdng,Wd Shng,TA,TA,BrkTil,216.0,0.0,540.0,756.0,GasA,Gd,Y,961.0,756.0,0.0,1717.0,1.0,0.0,1.0,0.0,3,1.0,Gd,7,Typ,1.0,3.0,642.0,Y,0.0,35,272.0,0.0,0.0,0.0,0.0,2.0,2006.0,WD,Abnorml,140000
5,60.0,RL,14260,Pave,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8.0,5.0,2000.0,2000.0,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,655.0,0.0,490.0,1145.0,GasA,Ex,Y,1145.0,1053.0,0.0,2198.0,1.0,0.0,2.0,1.0,4,1.0,Gd,9,Typ,1.0,3.0,836.0,Y,192.0,84,0.0,0.0,0.0,0.0,0.0,12.0,2008.0,WD,Normal,250000
6,50.0,RL,14115,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5.0,5.0,1993.0,1995.0,Gable,CompShg,VinylSd,VinylSd,TA,TA,Wood,732.0,0.0,64.0,796.0,GasA,Ex,Y,796.0,566.0,0.0,1362.0,1.0,0.0,1.0,1.0,1,1.0,TA,5,Typ,0.0,2.0,480.0,Y,40.0,30,0.0,320.0,0.0,0.0,700.0,10.0,2009.0,WD,Normal,143000
7,20.0,RL,10084,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8.0,5.0,2004.0,2005.0,Gable,CompShg,VinylSd,VinylSd,Gd,TA,PConc,1369.0,0.0,317.0,1686.0,GasA,Ex,Y,1694.0,0.0,0.0,1694.0,1.0,0.0,2.0,0.0,3,1.0,Gd,7,Typ,1.0,2.0,636.0,Y,255.0,57,0.0,0.0,0.0,0.0,0.0,8.0,2007.0,WD,Normal,307000
8,60.0,RL,10382,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7.0,6.0,1973.0,1973.0,Gable,CompShg,HdBoard,HdBoard,TA,TA,CBlock,859.0,32.0,216.0,1107.0,GasA,Ex,Y,1107.0,983.0,0.0,2090.0,1.0,0.0,2.0,1.0,3,1.0,TA,7,Typ,2.0,2.0,484.0,Y,235.0,204,228.0,0.0,0.0,0.0,350.0,11.0,2009.0,WD,Normal,200000
9,50.0,RM,6120,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7.0,5.0,1931.0,1950.0,Gable,CompShg,BrkFace,Wd Shng,TA,TA,BrkTil,0.0,0.0,952.0,952.0,GasA,Gd,Y,1022.0,752.0,0.0,1774.0,0.0,0.0,2.0,0.0,2,2.0,TA,8,Min1,2.0,2.0,468.0,Y,90.0,0,205.0,0.0,0.0,0.0,0.0,4.0,2008.0,WD,Abnorml,129900
10,190.0,RL,7420,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5.0,6.0,1939.0,1950.0,Gable,CompShg,MetalSd,MetalSd,TA,TA,BrkTil,851.0,0.0,140.0,991.0,GasA,Ex,Y,1077.0,0.0,0.0,1077.0,1.0,0.0,1.0,0.0,2,2.0,TA,5,Typ,2.0,1.0,205.0,Y,0.0,4,0.0,0.0,0.0,0.0,0.0,1.0,2008.0,WD,Normal,118000
